blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
ETH,IMX/ETH,Uniswap,IMX,361346.0,0.4032,295207.0,0.5744,-74.48%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,IMX/ETH,Uniswap,ETH,586902.0,0.09390000000000001,388605.0,0.1548,-74.48%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,USDC/USDT,Uniswap,USDC,407711.0,0.12300000000000001,287870.0,0.1906,-602.99%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,USDC/USDT,Uniswap,USDT,392989.0,0.3849,296145.0,0.5593,-602.99%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,215738.0,0.0009,61684.0,0.0040999999999999995,33.69%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,ETH2x-FLI/ETH,Uniswap,ETH,59480.0,0.056900000000000006,44833.0,0.0944,33.69%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,DPI/ETH,Uniswap,DPI,117400.0,0.0548,46613.0,0.17300000000000001,-13.31%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,DPI/ETH,Uniswap,ETH,303605.0,0.0003,56055.0,0.0023,-13.31%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,WBTC/ETH,Uniswap,WBTC,161158.0,0.0004,31145.0,0.0024,-19.32%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,WBTC/ETH,Uniswap,ETH,102493.0,0.027999999999999997,41202.0,0.0873,-19.32%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,USDC/ETH,Uniswap,USDC,41109.0,0.23989999999999997,34557.0,0.35810000000000003,11.10%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,USDC/ETH,Uniswap,ETH,179182.0,0.0060999999999999995,47434.0,0.0287,11.10%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,DAI/ETH,Uniswap,DAI,20594.0,0.039900000000000005,20592.0,0.0499,39.94%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,DAI/ETH,Uniswap,ETH,134130.0,0.0003,24476.0,0.0023,39.94%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,ETH/CRV,Uniswap,ETH,13026.0,0.1501,13074.0,0.18760000000000002,-75.32%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,ETH/CRV,Uniswap,CRV,28022.0,0.8845000000000001,21417.0,1.4684,-75.32%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,LINK/ETH,Uniswap,LINK,30682.0,0.0006,4652.0,0.0066,19.99%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,LINK/ETH,Uniswap,ETH,137374.0,0.0003,22354.0,0.0023,19.99%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,CEL/ETH,Uniswap,CEL,13420.0,0.0641,3832.0,0.2898,21.45%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,CEL/ETH,Uniswap,ETH,12780.0,0.024399999999999998,11305.0,0.0346,21.45%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,YFI/ETH,Uniswap,YFI,16538.0,0.0003,2738.0,0.0024,19.42%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,YFI/ETH,Uniswap,ETH,8081.0,0.0037,4628.0,0.008199999999999999,19.42%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,MATIC/ETH,Uniswap,MATIC,27869.0,0.0353,3462.0,0.0803,98.51%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,MATIC/ETH,Uniswap,ETH,56321.0,0.0003,3763.0,0.0025,98.51%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,UNI/ETH,Uniswap,UNI,17122.0,0.0006,2160.0,0.0031,-0.41%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,UNI/ETH,Uniswap,ETH,34304.0,0.0346,5243.0,0.0533,-0.41%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
